Period Invested For,₹1000 SIP Started on,Total Investments (₹),Latest Value (₹),Absolute Returns (%),Annualised Returns (%)
1 Year,27-Nov-24,12000,14236.51,18.64%,36.06%
2 Year,24-Nov-23,24000,30191.12,25.8%,23.72%
