Period Invested for,₹1000 SIP Started on,Investments,Latest Value,Absolute Returns,Annualised Returns
1 Year,27-Nov-24,12000,13960.51,16.34%,31.44%
2 Year,24-Nov-23,24000,28882.81,20.35%,18.86%
3 Year,25-Nov-22,36000,51625.11,43.4%,24.81%
5 Year,27-Nov-20,60000,110548.9,84.25%,24.67%
10 Year,27-Nov-15,120000,314326.13,161.94%,18.3%
