Period Invested For,₹1000 SIP Started on,Investments,Latest Value,Absolute Returns,Annualised Returns
1 Year,27-Nov-24,12000,13790.25,14.92%,28.61%
2 Year,24-Nov-23,24000,28365.15,18.19%,16.92%
3 Year,21-Nov-23,20000,21879.07,9.4%,10.7%
