Period Invested For,₹10000 Invested On,Latest Value,Absolute Returns,Annualised Returns,Category Avg,Rank within Category
1 Week,20-Nov-25,9960.5,-0.40%,-,-0.13%,140/231
1 Month,27-Oct-25,9945.0,-0.55%,-,0.02%,146/231
3 Month,26-Aug-25,10531.7,5.32%,-,4.22%,73/226
6 Month,27-May-25,11955.6,19.56%,-,6.54%,2/215
YTD,01-Jan-25,12137.8,21.38%,-,5.74%,6/201
1 Year,27-Nov-24,12038.2,20.38%,20.38%,5.67%,8/187
2 Year,24-Nov-23,17074.3,70.74%,30.48%,19.39%,3/144
Since Inception,17-Aug-23,18634.4,86.34%,31.35%,14.24%,6/204
